id,color,codigo_color,codigo_tela,descripcion_tela,ancho_tela
690,MALDIVES BLUE SUNBURN,690,TE00008762,PRINTED CHIFFON OSTINELLI LAMÉ 120012089 FW'23 EUCALYPTUS FANTASY - BROWN AQUA 90CM,1.4
691,ECRU/MOROCCAN BLUE,691,TE00008580,VELVET DEVORÉ HONEYCOMB GREEN/GOLD,1.18
692,ROSEWOOD,692,TEN0003728,CUERO ATENAS NEGRO,
693,ROSERY/ECRU/NECTARINE,693,TE00008764,PRINTED CHIFFON OSTINELLI LAMÉ 120012089FW'23 LA VIE EN PALM GREEN-YELLOW-ECRU 100 CM,1.4
694,CHESNUT/CAMPARI,694,TE00008785,PRINTED PALM JACQUARD RATTI MM01332FW'23 BOOK OF TROPICAL JEWELS PURPLE-ECRU 30CM,1.4
695,ECRU/CHESNUT,695,TE00007692,SOLID LYCRA WITH LUREX METALLICA CAPRI 19 VAR 36,1.45
696,GARDEN JADE/OFF WHITE,696,TE00008795,HAMMERED CHARMEUSEFW'23 PREVIEW EUCALYTPUS FANTASY - GREEN PEACH 90CM,1.1
697,OASIS GREEN/ECRU STRIPES,697,TE00008303,SOLID LYCRA CAPRI.19 WITH LUREX METALLICA SILVER #2,1.45
698,FLORAL,698,TEN0007300,ALGODON FRANELA TERRACOTA MALE 731238,1.72
699,MONK ORNAGE/CAMEL,699,TE00008604,VEGAN LEATHER MELZO.28 549 DARK BROWN,1.35
700,SOFT PEACHNOUGAT,700,TE00007496,JERSEY RIB1X1 C.PAULI C5555-2018 CAPPUCCINO,0.89
701,NIGHTS IN CALI BLACK/ECRU,701,TE00008786,PRINTED PALM JACQUARD RATTI MM01332 TOBAGO FW'23 EUCALYPTUS FANTASY - BROWN AQUA 90CM,1.4
702,COCO DE MER/ECRU,702,TE00005645,ALG. ACTION POPELINA BLANCO 00001,1.35
703,ECRU/DANDELION,703,TE00007341,SOLID LYCRA WITH LUREX MAGLIA METALLICA CARDIFF.19 BLACK WITH BLACK LUREX COL6,1.45
704,ECRU/BLACK DOTS,704,TE00008837,"FAUX FUR FF97 BLACK, ELEGANT FABRICS",1.47
705,MARSALLA,705,TE00007017,ACETATE JERSEY ART01711 HENITEX CALANDRAGE 336 COPPER,1.35
706,ZEBRA TRIBAL GARDEN,706,TE00007015,ACETATE JERSEY ART01711 CALANDRAGE 36 CHOCOLATE,1.35
707,ECRU/NIGHTS IN CALI BALCK,707,TE00008821,DOUBLE GGT 16MM FOREST GREEN DGT-162 - SAISILKS,1.1
708,ECRU/CAMEL,708,TE00008763,PRINTED CHIFFON OSTINELLI LAMÉ 120012089FW'23 LA VIE EN PALM BROWN-YELLOW-GRAY 100 CM,1.4
709,MAUVE/WHITE AMAZONIA MINI PRINT,709,TE00008848,FAUX FUR 85005 COL.16504 LEOPARD - de BALL,1.5
710,DANDELION/DARK JADE,710,TEN0007312,GAMO 08/07MM PELETERIA PARRA NEGRO,
711,PUNCH JADE,711,TE00006464,CREPE DE CHINE NUDE PV1200 110 16MM,1.11
712,DESERT MIST/SOFT PEACH,712,TE00007158,CUERO SINTETICO 023S000G269 STYLEM 260 BROWN,1.35
713,MONK ORANGE/ECRU,713,TE00001108,CREPE DE CHINE SEDA 16MM PLETEADO PV1200-126,1.11
714,ECRU/BURNT UMBER,714,TE00006181,FALLA SEDA NEGRO PV9400 BLACK,1.37
715,CINNAMON/ECRU,715,TEN0002393,SIDO LD3300 BLANCO,1.5
716,DESERT MIST/ECRU,716,TEN0002394,SIDO LD3300 NEGRO,1.5
717,ORANGE/CELESTE,717,TE00007843,SYNTHETIC LEATHER CAMEL WITH SUEDE BACKING 0.7 MM,1.37
718,MALVA FLORAL PRINT,718,TE00004244,LIGTH WOOL ART JIVE COL5949 CAMEL,1.42
719,BLACK/TOURMALINE,719,TEN0007342,PRINTED SATIN - BATTI/STUEX - FW23 BOOK OF TROPICAL JEWELS BLACK/CAMEL,1.45
720,COPPERTAN/ECRU,720,TE00008846,PAÑO LENCY NEGRO 0.90,0.9
721,MOROCCAN BLUE/ECRU,721,TE00008884,PRINTED CHIFFON LAMÉ 120012089 OSTINELLI FW23 #81 CREATIVE EXCHANGE MAXI DRESS GREEN/YELLOW/ECRU FR,1.4
722,MONK ORNAGE/ECRU,722,TE00008966,PRINTED CHIFFON LAMÉ 120012089 OSTINELLI FW23 #81 CREATIVE EXCHANGE MAXI DRESS GREEN/YELLOW/ECRUR BC,1.4
723,ROSECABERNETCO,723,TE00008090,SILK CDC 16 MM DARK GREEN 3162 - SAILSILKS,1.1
724,CELESTE RUST,724,TE00004771,JERSEY 22547 MSV THIRTY RAMADO COL PRETO NEGRO,1.8
725,ECRU/BLUE,725,TE00008944,"LUREX JACQUARD, Y131440 YOMANDO, MALHIA KENT, RE24/RTW, GREEN/GOLD",1.25
726,ECRU/CAMPARI,726,TEN0007322,LYCRA SUMATRA 2226 EGITTO OCRE,1.5
727,ECRU/CHILI PEPPER,727,TE00008968,SOLID LYCRA CAPRI.19 WITH LUREX METALLICA FUCSIA #34,1.45
728,ECRU/CINNAMON,728,TE00008969,SOLID LYCRA CAPRI.19 WITH LUREX METALLICA PINK #33,1.45
729,ECRU/COBRE,729,TE00008970,"METALLIC SEQUIN EMB-A09399/10, VENTURES, BLACK/NUDE",1.30
730,ECRU/DESERT MIST,730,TE00008971,"METALLIC SEQUIN EMB-A09399/6, VENTURES, GOLD ROSE/GREEN",1.30
731,ECRU/GRAY,731,TE00008972,"METALLIC SEQUIN EMB-A09399/8, VENTURES, PURPLE/ORANGE",1.30
732,ECRU/HAVANNA RUM,732,TE00008973,"SOLID PALM JACQUARD TOBAGO/5704/140, RATTI, BLACK 0002-A",1.4
733,ECRU/NECTARINE,733,TE00008974,"SOLID PALM JACQUARD TOBAGO/5704/140, RATTI, PURPLE 19-1924A",1.4
734,ECRU/POMEGRANATE/TOILE,734,TE00008975,"SOLID PALM JACQUARD TOBAGO/5704/140, WINE C 19-1531",1.4
735,ECRU/RED,735,TE00008976,"SOLID PALM JACQUARD TOBAGO/5704/140, ORANGE 18-1561 B",1.4
736,ECRU/ROJO,736,TE00008977,"SOLID PALM JACQUARD TOBAGO/5704/140, RED 18-1664 B",1.4
737,ECRU/ROSE,737,TE00008978,"SOLID PALM JACQUARD TOBAGO/5704/140, ECRU 12-0710 B",1.4
738,ECRU/VERDE JADE,738,TE00008979,"SOLID PALM JACQUARD TOBAGO/5704/140, GREEN 18-6030 A",1.4
739,ECRU CHILI PEPPER,739,TEN0007311,CUERO CONFECCIÓN ATENAS FOLIA LUNA,
740,ECRU VINOTINTO,740,TEN0007343,CUERO CONFECCIÓN ATENAS FOLIA BRONCE,
741,FLAMINGO CELESTE,741,TEN0007344,CUERO CONFECCIÓN ATENAS FOLIA ORO ROSA,
742,FLOURISH BURNT UMBER,742,TEN0007764,LYCRA FOLIE 3BFL/SULTANO TERRACOTA,1.5
743,GARDEN VERDE JADE/COPPER TAN,743,TEN0007763,LYCRA FOLIE 42YR/RAMATO ORANGE,1.5
744,GARDEN VERDE JADE OFF WHITE,744,TEN0007761,LYCRA FOLIE 45FR/BOUDOIR WINE,1.5
745,GRAY/DANDELION,745,TEN0007334,LYCRA FOLIE 4AED GREEN BOY,1.5
746,GRAY/ECRU,746,TEN0007333,LYCRA FOLIE 5DL3 NERO,1.5
747,GRAY/ROSE/VINOTINTO,747,TEN0007339,LYCRA NAIR 10M3 AVORIO,1.55
748,GRAY/ROSE/WINE,748,TEN0007337,LYCRA NAIR 3BMH PEAK TERRACOTA,1.55
749,GRAY/SALMON,749,TEN0007336,LYCRA NAIR 42XX GOLDFISH ORANGE,1.55
750,GREEN/COPPERTAN,750,TEN0007335,LYCRA NAIR 45IF CARRUBE WINE,1.55
751,GREEN/GOLD,751,TEN0007338,LYCRA NAIR 5DE53 NERO,1.55
752,HONEY/BLACK/MOCCA,752,TEN0007330,LYCRA RIB BRISTOL 4BMX TAURUS,1.4
753,HONEY/BROWN PITON,753,TE00006995,SOLID COTON POPLIN 105GMS ART 211802 1 WHITE,
754,HONEY PITON,754,TE00008894,"SOLID COTTON POPLIN 105GMS, ART.211802, COL. 210 CAMEL",1.37
755,HUSBAND BLUE/COCO DE MER,755,TE00000895,SOLID COTON POPLIN ART2300075020 STYLEM COL810 RED,1.4
756,IVORY TROPICAL CHINOISERIE,756,TE00008921,PRINTED LINEN LIK006 RATTI RE24/SWIM TROPICAL CARNIVAL - 50CM RED/LILAC,1.47
757,LAVENDER,757,TE00008930,PRINTED LYCRA VITTA FY0427J RATTI RE24/SWIM SERENGETI - 30CM ECRU/RED/VIOLET,1.46
758,LIGHT GREY FLOWER,758,TE00008950,"EMBROIDERY COTTON VOILE, ES-222895, EMBSENSE, RE24 SWIM TROPICAL CARNIVAL EMBROIDERY 50CM",1.4
759,LILA/PLATEADO,759,TE00008951,"EMBROIDERY COTTON VOILE, ES-222895, EMBSENSE, RE24 SWIM CENEFA TROPICAL CARNIVAL 38CM",1.4
760,LILA BUGS,760,TE00008952,"EMBROIDERY COTTON VOILE, ES-222895-EMBSENSE-RE24/SWIM CENEFA TROPICAL CARNIVAL BLACK/BLUE/ECRU 38CM",1.4
761,LILAC BUGS,761,TE00008953,"EMBROIDERY COTTON VOILE, ES-222895, EMBSENSE, RE24 SWIM TROPICAL CARNIVAL BLACK/PINK/ECRU 50CM",1.4
762,MAGIC NUDE/OFF WHITE,762,TE00008954,"EMBROIDERY COTTON VOILE, ES-222895-EMBSENSE-RE24 SWIM TROPICAL CARNIVAL TERRACOTA/YELLOW/ORANGE 50CM",1.4
763,MEDIANOCHE NAVY/TARTAN,763,TE00008955,"EMBROIDERY COTTON VOILE, ES-222895, EMBSENSE, RE24 SWIM TROPICAL CARNIVAL RED/BURGUNDY/ECRU 50CM",1.4
764,MENS BLUE/COPPERTAN,764,TE00008956,"EMBROIDERY COTTON VOILE, ES-222895, EMBSENSE, RE24 SWIM TROPICAL CARNIVAL BROWN/ORANGE/BURGUNDY 50CM",1.4
765,MEN SHIRT BLUE,765,TE00008957,"EMBROIDERY COTTON VOILE, ES-222895, EMBSENSE, RE24 SWIM TROPICAL CARNIVAL ECRU/BLUE/ORANGE 50CM",1.4
766,MIDNIGHT BLUE/NUDE,766,TE00008958,"EMBROIDERY COTTON VOILE, ES-222895, EMBSENSE, RE24 SWIM TROPICAL CARNIVAL ECRU/PINK/RED 50CM",1.4
767,MIDNIGHT BLUE/ROSE,767,TE00008959,"EMBROIDERY COTTON VOILE, ES-222895, EMBSENSE, RE24 SWIM CARNIVAL CENEFA RED/ECRU/GREEN 40CM",1.4
768,MILITARY TOILE,768,TE00008912,PRINTED LINEN LIK006 RATTI RE24/SWIM KENYAN FANS ECRU/BLUE 20CM,1.47
769,MONK ORANGE/COCO DE MER,769,TE00008913,PRINTED LINEN LIK006 RATTI RE24/SWIM SWAHILI STRIPES BROWN/RED/ECRU 110CM,1.47
770,MONK ORANGE/NUDE,770,TE00008914,PRINTED LINEN LIK006 RATTI RE24/SWIM SWAHILI STRIPES BROWN/YELLOW/ORANGE 50CM,1.47
771,MORROCAN BLUE/ECRU,771,TE00008915,PRINTED LINEN LIK006 RATTI RE24/SWIM SWAHILI STRIPES OPIUM RED/VIOLET/BLUE 110CM,1.47
772,MUSTARD,772,TE00008916,PRINTED LINEN LIK006 RATTI RE24/SWIM TROPICAL CARNIVAL - 50CM BLACK/CHOCOLATE/PINK,1.47
773,NARANJA/BLANCO,773,TE00008917,PRINTED LINEN LIK006 RATTI RE24/SWIM TROPICAL CARNIVAL - 50CM BLACK/INTENSE LAPIS LAZULI,1.47
774,NATURAL/NAVY,774,TE00008918,PRINTED LINEN LIK006 RATTI RE24/SWIM TROPICAL CARNIVAL - 50CM DARK CHOCOLATE/ROYAL BLUE,1.47
775,NAVY/PLATEADO,775,TE00008919,PRINTED LINEN LIK006 RATTI RE24/SWIM TROPICAL CARNIVAL - 50CM MIDNIGHT BLUE/GREEN MULTI,1.47
776,NIGTHS IN CALI BLACK,776,TE00008920,PRINTED LINEN LIK006 RATTI RE24/SWIM TROPICAL CARNIVAL - 50CM RED FIERCE/VIOLET,1.47
777,NIGTHS IN CALI BLACK/CAMEL,777,TE00008922,PRINTED LINEN LIK006 RATTI RE24/SWIM SERENGETI - 80CM BLACK/PINK,1.47
778,NOCHE BLACK,778,TE00008923,PRINTED LINEN LIK006 RATTI RE24/SWIM WILDLIFE - 30CM ECRU/RED,1.47
779,NOCHE BLACK/ECRU TARTAN DOTS,779,TE00008924,PRINTED LINEN LIK006 RATTI RE24/SWIM Wildlife - 30CM ORANGE/BLUE,1.47
780,NUDE/BROWN,780,TE00008925,PRINTED LYCRA VITTA FY0427J RATTI RE24/SWIM KENYAN FANS SWIMSUIT ECRU/BLACK 150CM/30CM,1.46
781,NUDE/CELESTE,781,TE00008926,PRINTED LYCRA VITTA FY0427J RATTI RE24/SWIM KENYAN FANS SWIMSUIT ECRU/BLUE 30CM,1.46
782,NUDE/LILA,782,TE00008927,PRINTED LYCRA VITTA FY0427J RATTI RE24/SWIM SERENGETI - 30CM BLACK/PINK,1.46
783,NUDE/MILITARY GREEN/TOILE,783,TE00008928,PRINTED LYCRA VITTA FY0427J RATTI RE24/SWIM SERENGETI - 30CM BLACK/RED,1.46
784,NUDE/TORNASOL,784,TE00008929,PRINTED LYCRA VITTA FY0427J RE24/SWIM SERENGETI - 30CM ECRU BLACK/BLUE,1.46
785,OASIS GREEN/ECRU,785,TE00008931,COTTON VOILE ORO SEI LISA RE24/SWIM AFRICAN WAVES PAREO - BLUE/RED MULTI,1.45
786,OFF WHITE/NAVY,786,TE00008932,COTTON VOILE ORO SEI LISA RE24/SWIM AFRICAN WAVES PAREO - ECRU/BLUE,1.45
787,OLD ROSE CABERNET,787,TE00008933,COTTON VOILE ORO SEI LISA RE24/SWIM KILIMANJARO PAREO - COFFEE/PINK,1.45
788,ORANGE/BLACK,788,TE00008934,COTTON VOILE ORO SEI LISA RE24/SWIM KILIMANJARO PAREO - ECRU/BLACK,1.45
789,ORANGE/GREEN,789,TE00008935,COTTON VOILE ORO SEI LISA RE24/SWIM KILIMANJARO PAREO - ECRU/CHOCOLATE/RED,1.45
790,PAISLEY/DUSK SKY,790,TE00008936,COTTON VOILE ORO SEI LISA RE24/SWIM KILIMANJARO PAREO - ECRU/COFFEE,1.45
791,PALE ROSE BUGS,791,TE00008937,COTTON VOILE ORO SEI LISA RE24/SWIM KILIMANJARO PAREO - ECRU/NAVY,1.45
792,PEACH,792,TE00008938,COTTON VOILE ORO SEI LISA RE24/SWIM KILIMANJARO PAREO - GREEN/RED,1.45
793,PINK/BLUE,793,TE00008939,COTTON VOILE ORO SEI RE24/SWIM KILIMANJARO PAREO - VIOLET/COFFEE,1.45
794,PISTACHIO/NUDE,794,TE00008898,LIGHT POPLIN CAMBRIDGE LISA RE24/ SWIM CARNIVAL CENEFA BROWN/BLACK 40cm,1.42
795,POMEGRANATE/SALMON,795,TE00008899,LIGHT POPLIN CAMBRIDGE LISA RE24/ SWIM ELONGO STRIPES BLACK/ECRU/BROWN 80CM,1.42
796,PRINT/TRENZADO,796,TE00008900,LIGHT POPLIN CAMBRIDGE LISA RE24/ SWIM ELONGO STRIPES BLUE/ECRU/VIOLET 50CM,1.42
797,PUNCH/VERDE JADE,797,TE00008901,LIGHT POPLIN CAMBRIDGE LISA RE24/ SWIM KENYAN FANS MUSTARD/CHOCOLATE 20CM,1.42
798,RAYAS MOSTAZA,798,TE00008902,LIGHT POPLIN CAMBRIDGE LISA RE24/ SWIM SWAHILI STRIPES GREEN/BROWN/ECRU 110CM,1.42
799,RED/BLACK,799,TE00008903,LIGHT POPLIN CAMBRIDGE LISA RE24/ SWIM SWAHILI STRIPES PINK/BROWN/ECRU 110CM,1.42
800,RED LILIES,800,TE00008904,LIGHT POPLIN CAMBRIDGE LISA RE24/ SWIM SWAHILI STRIPES VIOLET/RED/ECRU 110CM,1.42
801,RENAISSANCE/CINNAMON,801,TE00008905,LIGHT POPLIN CAMBRIDGE LISA RE24/ SWIM MANDALA CENEFA ECRU/COFFEE 45cm,1.42
802,RENAISSANCE/MARSALA,802,TE00008906,LIGHT POPLIN CAMBRIDGE LISA RE24/ SWIM MANDALA CENEFA VIOLET/RED 45cm,1.42
803,RENAISSANCE FOREST,803,TE00008908,LIGHT POPLIN CAMBRIDGE LISA RE24/ SWIM SERENGETI - 80CM ECRU/RED/VIOLET,1.42
804,RENNAISANCE ROSE,804,TE00008909,LIGHT POPLIN CAMBRIDGE LISA RE24/ SWIM SERENGETI - 80CM YELLOW/COFFEE,1.42
805,ROJO/COBRE,805,TE00008910,ECO GEORGETTE GREEN PARAGUAY LISA RE24/SWIM SERENGETI - 80CM ECRU/BLACK/BLUE,1.51
806,ROJO/ECRU,806,TE00008911,ECO GEOGETTE GREEN PARAGUAY LISA RE24/ SWIM SERENGETI - 80CM ECRU/RED/VIOLET,1.51
807,ROJO/PLATEADO,807,TEN0007781,LYCRA RIB BRISTOL 5DTT NERO,1.4
808,ROJO ATARDECER STRIPES,808,TE00008887,"SOLID LINEN JULIA 43003, COL. VANILA 1591",1.5
809,ROSE/BLACK,809,TE00008888,"SOLID LINEN JULIA 43003, COL. TOASTED COCONUT 8349",1.5
810,ROSE/ECRU,810,TE00008889,"SOLID LINEN JULIA 43003, COL. CANYON ROSE 3159",1.5
811,ROSE CABERNET,811,TE00008890,"SOLID LINEN JULIA 43003, COL. BURLWOOD 3152",1.5
812,ROSETTE/COPPERTAN,812,TE00008891,"SOLID LINEN JULIA 43003, COL. VETIVER 7453",1.5
813,RUBY/SANGRIA,813,TE00008892,"SOLID LINEN JULIA 43003, COL. FOREST GREEN 7240",1.5
814,SALMON/BLACK,814,TE00004224,LINEN STP BEIGECRU ART43003 I3033 98 FINISH P Z,1.52
815,SANGRIA/CAMEL,815,TE00008893,LINEN STP BLUE/ECRU ART43003 L3033 63 FINISH P Z,
816,SANGRIA RED,816,TE00008895,"SHIMMERING LYCRA, W0693ERO, CLERICI RE24/SWIM KENYAN FANS SWIMSUIT ECRU/BLACK 150CM/30CM",1.56
817,SANGRIA RED/CHILI PEPPER RED,817,TE00008896,"SHIMMERING LYCRA, W0693ERO, CLERICI RE24/SWIM SERENGETI - 30CM BLACK/RED",1.56
818,SERENADE CAMEL/ECRU,818,TE00008897,"SHIMMERING LYCRA, W0693ERO, CLERICI RE24/SWIM SERENGETI - 30CM ECRU/RED/VIOLET",1.56
819,SOFT OLIVE/CHESNUT,819,TE00008945,"EMBROIDERY COTTON, ART. J30-0041, MONARCH RE24 SWIM, INHERITED WISDOM GREEN/PINK/BROWN",1.53
820,SOFT PEACH/NOUGAT,820,TE00008946,"EMBROIDERY COTTON, ART. J30-0041, MONARCH RE24 SWIM, INHERITED WISDOM RED/PINK/DARK BROWN",1.53
821,SOFT PINK/OFF WHITE,821,TE00008947,"EMBROIDERY COTTON, ART. J30-0041, MONARCH RE24 SWIM, INHERITED WISDOM DARK BROWN/PURPLE/RED",1.53
822,TERRACOTA/ECRU,822,TE00008948,"EMBROIDERY COTTON, ART. J30-0041, MONARCH RE24 SWIM, INHERITED WISDOM ORANGE/LIGHT BLUE/COBAL BLUE",1.53
823,TOBACO,823,TE00008949,"EMBROIDERY COTTON, ART. J30-0041, MONARCH RE24 SWIM, INHERITED WISDOM NAVY/LIGHT BLUE/BLACK",1.53
824,TOBACO/ECRU/DESERT,824,TEN0007321,LYCRA SUMATRA 07145 GOBLIN VERDE BOSQUE,1.5
825,TOILE/ECRU/CHILI PEPPER,825,TEN0007314,LYCRA SUMATRA 4243 SHANGAI RED,1.5
826,TUMERIC,826,TEN0007323,LYCRA SUMATRA 8185 PAPAGAYO LIGHT OCRE,1.5
827,TURMERIC/LILA,827,TEN0003729,CUERO ATENAS MOSTAZA GILB,
828,VANILLA/CINAMMON,828,TEN0007262,CUERO SHERATON MIEL RM,
829,VERDE/ROSE,829,TE00008980,"NONWOVEN INTERLINING STRECH XB 6133, FREUDENBERG",1.5
830,VERDE/SALMON,830,TEN0006786,LYCRA MALAGA COL0086 ECRU,1.5
831,VERDE JADE/BLACK,831,TEN0007154,TIFFANY 99 ECRU,1.47
832,VERDE JADE/NUDE,832,TEN0004478,TIFFANY 59 NAVY,1.4
833,VERDE JADE/PUNCH,833,TEN0007238,LYCRA HAMPTONS MARE 30015 COFFE CREAM,
834,VERDE JADE/SALMON ACACIA TREE PRINT,834,TEN0007207,LYCRA SUMATRA 6007 BLU SCURO DARK BLUE,1.5
835,VINOTINTO/ROJO TORNASOL,835,TEN0003732,LYCRA VITA 390 COL0250 BODY NUDE,1.5
836,WINE/IVORY,836,TEN0003655,LYCRA BAHIA 33474 COL141521 ROSA,1.56
837,WINE/RED,837,TE00008688,RIB - BIO BUNDCHEN RIB 2X1 - NATUR - ECRU,0.89
838,YELLOW/GREEN,838,TEN0003831,BULGARIA COL09 NEGRO,1.48
839,YELLOW/VERDE,839,TE00008876,SILK EMBROIDERED A-42529 VENTURES BLACK,1.30
840,YELLOW/WHITE,840,TE00007147,TEJIDO DE PUNTO DICIOTTO 26762 702 ECRU,1.35
841,ECRU/WINE,841,TE00006458,VOILE ART.26-35000 DIS.1002 COL.800 SANGRIA,1.16
842,WHITE/VERDE JADE,842,TEN0003492,ALGODÓN MANDARINA COL 09 NEGRO,1.4
843,GREEN/ROSE,843,TE00004226,SOLID JERSEY ART KNT3332PIA COL19 4177 2 RED,1.6
844,TURMERIC/ROSE,844,TE00008824,"CDC-44"" 16MM 3161 PINE GREEN - SAISILKS",1.1
845,TURMERIC/NUDE,845,TE00008825,CHAMEUSSE 16MM 3141 TERRACOTA - SAISILKS,1.1
846,TURMERIC/POMEGRANATE,846,TEN0005891,DGTTE NUDE JO WIDE PV6000W PR29435,1.1
847,TURMERIC/VERDE JADE,847,TE00008812,VEGAN LEATHER MELZO.28 COL.505 MILITARY GREEN,1.35
848,ECRU/MORINGA/GREEN,848,TE00008810,VEGAN LEATHER MELZO.28 COL.546 MUSTARD,1.35
849,BABYBLUE/OFFWHITE,849,TE00008814,JERSEY CAIRO.12 COL.16 TERRACOTA,1.35
850,RED/WHITE,850,TE00007021,JERSEY VISCOSE ART11251 VISCONTI 3D60 CANELA,1.5
851,AZUL/BLANCO/VINOTINTO,851,TE00008531,FANTASY JACQUARD J22-716 MONARCH PF23 RTW RED-PINK,
852,GRAY/PEACH,852,TE00000859,TIFFANY RAYON NUDE COL35,1.45
853,GUAYABA,853,TEN0003670,ALGODÓN MANDARINA COL 99 IVORY,1.4
854,MARIGOLD/IVORY,854,TE00005887,DOUBLE GEORGETTE IVORY GGTE 16MMW SILK WIDE PR2821,1.37
855,VINOTINTO/BLANCO,855,TE00005579,CDC 23MM WIDE BLACK,1.37
856,CHOCOLATE/ESMERALDA,856,TE00005256,SOLID COTTON VOILE SI MUS 4100N VERDE VAR 2,1.45
857,VERDE/CAFÉ,857,TE00008304,CREPE DE SEDA 16MM TERRACOTA PV1200/175 44 45,1.1
858,BROWN/ECRU,858,TEN0002386,SIDO TEXTURIZADO BLANCO 2669 30,1.5
859,VERDE/ECRU,859,TE00000359,LYCRA MALAGA 384 AVORO 0086/OFF WHITE,1.5
860,WHITE/BROWN,860,TEN0004650,LYCRA VITA 390 COL 70177 PRETENDER VERDE TROPICO,1.5
861,BLUE/BROWN,861,TEN0003672,LYCRA PERLA MALAGA 0086 5288 AVORIO,1.5
862,IVORY/GRAY,862,TEN0002705,LICRA TABITA CRUDA U400502 TINTURADA TERRACOTA,1.49
863,SALMON/ROJO,863,TEN0003796,LYCRA BAHIA 33474 COL.171452 NARANJA,1.56
864,PUNCH,864,TEN0007301,ALGODON FRANELA NUDE MALE 711153,1.75
865,NAVY/RED,865,TEN0007302,ALGODON FRANELA VERDE MILITAR MALE 632537,1.75
866,OFF WHITE/GRAY,866,TEN0007303,ALGODON FRANELA VERDE BOSQUE MALE 632710,1.75
867,RED/ROSE,867,TE00007152,SILK CHINA SILK HABOTAI NUDE CLARO PV2000 COL107,1.14
868,MARSALA/CAMEL,868,TE00005216,FREANELA JERSEY 301 CT2281 PIMA ORGANICO,1.72
869,GREEN/BROWN,869,TEN0002685,ALGODON FRANELA NEGRO MALE 830011,1.75
870,TURMERIC/SANGRIA,870,TE00003422,CRINKLE VISCOSE EL0461 COL 110105TCX VAR B ANTECRU,1.4
871,CHOCOLATE/TERRACOTA,871,TEN0007252,ALGODON FRANELA CAMEL MALE 720555,1.75
872,COOPERTAN/CARAMEL/CHOCOLATE,872,TE00007636,ACTION TC4778R1 17015 MILITARY GREEN,1.35
873,MORINGA/NUDE,873,TE00008693,RIB - BIO BUNDCHEN STOFF - LAUREL - OLIVE,1
874,VANILLA/SOFT PEACH,874,TE00008692,RIB - BIO RIB 2X1 (BUNDCHEN) - CHILLI - WINE,1
875,OFF WHITE/COPPERTAN,875,TE00008584,SPECIAL WEAVE WITH FRINGES UNCUT HORIZONTAL STRIPES T139525,1.25
876,EMERAL,876,TEN0007254,ALGODON FRANELA LIGHT CAMEL MALE 131197,1.75
877,PEARL,877,TEN0007219,RIB ARMSTRONG COL830011 NEGRO,1
878,ROSE/OFF WHITE,878,TEN0007776,LYCRA DORE ORO LUREX ARTE: 314089 BURNT,1.5
879,ECRU/MIDNIGHT BLUE,879,TEN0007222,RIB ARMSTRONG COL 632537 VERDE MILITAR,1
880,MEN´S GRAY,880,TEN0007251,ALGODON FRANELA CAFE MALE 730141,1.75
881,TEAL/IVORY,881,TEN0007253,ALGODON FRANELA PEACH MALE 220514,1.75
882,WHITE/SALMON,882,TE00007316,PANTELLERIA PALMA 70200 VERDE,1.5
883,WHITE/ROSE,883,TE00008691,RIB - BIO RIB 2X1 (BUNDCHEN) - GOLDEN YELLOW - MUSTARD,1
884,WHITE/DANDELION,884,TE00008822,DOUBLE GGT 16MM WINE DGT-140 - SAISILKS,1.1
885,WHITE/HUSBAND BLUE,885,TE00007634,PANA VELVIS 500F RATTI - VL518 TERRACOTA,1.45
886,COCO DE MER/NUDE,886,TE00000025,ALGODON ACTION TC4778 R1 TANGERINE 07294,1.35
887,GRAY/ROSE,887,TE00007454,POPLIN POLY ART. 8500060008 - 2 SPECIAL RED,
888,AZUL CLARO/ROJO,888,TE00004986,CREPE BIRDS 177 71 RUST,1.44
889,ECRU/MATCHA/LATTE,889,TEN0003808,CUERO NAPA ATENAS CAL8 10 NUDE,
890,SQUARED/MIDNIGHT/BLUE,890,TE00008875,SILK EMBROIDERED A-42528 VENTURES ORANGE,1.30
891,WHITE/NAVY,891,TE00008871,"EMBROIDERED CDC, APT, FW23 - THE BOHEMIAN LEOPARD, SWATCH #7",1.1
892,VANILLA/CAMEL,892,TE00008853,LEATHER ANTE SADDLE BROWN LAJARA,
893,PEACH PARFAIT,893,TE00000333,JACQUARD ART30727 LEAOPARD15CM CERULEAN 194241,1.34
894,NAVY/ECRU,894,TE00000015,ALGODON ACTION POPELINA CAMEL 08854,1.35
895,SATIN,895,TE00000402,LUNAR TULL CALELLA FLOCADO TOPOS NEGRO,
896,ECRU/SALSA RED,896,TE00005710,SOLID COTTON VOILE SI MUS 4100N VAR1 DARK NUDE,1.45
897,BLACK/DANDELION/GREEN,897,TE00000323,JACQUARD DESERT FLOWERS GOLD NUDE 700455COL.F,1.35
898,CARMINE RED,898,TE00002917,COTTON DRIL CISCO TC2725/R8 COL 14039 LIGHT ROSE,1.38
899,SOFT GREEN,899,TEN0006025,LYCRA BAHIA 33474 COL.141513 NUDE,1.56
900,AZALEA,900,TE00004707,LYCRA BAHIA 33474 COL.121209,1.56
901,WATERMELON,901,TEN0002104,LYCRA MALAGA 384-8179 NAMIBIA COCOA,1.5
